,,,,,,,,,,,,,,<- Call Option,,,Put Option ->,,,,,,,,,,,,,,
Open Interest,Delta,Gamma,Vega,Theta,Rho,IV Chg,Midpt Price Chg,Trade Count,Volume,Bid IV,Bid Price,Theo Price,Ask Price,Ask IV,Expiration,Strike Price,Bid IV,Bid Price,Theo Price,Ask Price,Ask IV,Trade Count,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,IV Chg,Midpt Price Chg
1318,0.3362,0.071,0.0163,-0.0369,0.0031,-4.285,0.205,77,296,122.71,0.95,,1.01,126.16,GME 15-Jan-21,19,128.38,4.4,,4.6,140.31,24,504,6497,-0.642,0.0671,0.0162,-0.0404,-0.0087,-4.285,-0.625
18808,0.2842,0.0655,0.0137,-0.0343,0.0026,-3.025,0.16,404,2753,123.48,0.77,,0.81,126.26,GME 15-Jan-21,20,128.89,5.2,,5.4,142.78,55,867,15453,-0.6917,0.0629,0.0136,-0.0386,-0.0092,-3.025,-0.675
935,0.2404,0.0593,0.014,-0.0319,0.0022,2.145,0.135,34,69,124.23,0.61,,0.68,129.03,GME 15-Jan-21,21,130.2,6.05,,6.25,144,1,1,402,-0.7328,0.0578,0.014,-0.0361,-0.01,2.145,-0.625
6808,0.2041,0.0533,0.0106,-0.0297,0.0019,0.335,0.1,43,442,126.06,0.5,,0.56,131.56,GME 15-Jan-21,22,134.89,6.95,,7.15,148.43,7,7,6137,-0.7641,0.0526,0.0143,-0.0351,-0.0107,0.335,-0.7
972,0.1772,0.0476,0.0108,-0.0275,0.0017,-2.78,0.085,8,17,126.16,0.4,,0.51,136.16,GME 15-Jan-21,23,134.93,7.85,,8.05,152.63,0,0,65,-0.7937,0.0481,0.0108,-0.033,-0.0109,-2.78,-0.8
1227,0.1437,0.0419,0.0111,-0.024,0.0014,-8.49,0.045,26,67,128.97,0.33,,0.37,132.42,GME 15-Jan-21,24,130.31,8.7,,9,156.81,0,0,1052,-0.8229,0.0435,0.011,-0.0298,-0.0115,-8.49,-0.775
3944,0.1204,0.0369,0.0075,-0.0212,0.0011,-6.11,0.03,102,483,130.32,0.28,,0.29,131.79,GME 15-Jan-21,25,139,9.7,,9.95,160.76,0,0,606,-0.8355,0.0398,0.0112,-0.0297,-0.012,-6.11,-0.75
3308,0.0939,0.0294,0.0078,-0.0185,0.0009,2.015,0.03,34,357,135.91,0.21,,0.23,138.09,GME 15-Jan-21,27,146.69,11.65,,11.85,168.2,0,0,116,-0.8651,0.0335,0.0078,-0.0274,-0.0124,2.015,-0.7
21324,0.0686,0.0217,0.0049,-0.0156,0.0007,2.955,0.02,214,1075,143.83,0.15,,0.17,148.38,GME 15-Jan-21,30,152.93,14.55,,14.75,176.85,0,0,404,-0.8975,0.0261,0.0081,-0.0234,-0.0136,2.955,-0.725
3834,0.0471,0.0146,0.0053,-0.0128,0.0004,6.55,0.025,58,368,158.42,0.1,,0.13,165.29,GME 15-Jan-21,35,168.07,19.5,,19.75,204.55,30,35,226,-0.9183,0.0197,0.0053,-0.0225,-0.0147,6.55,-0.75
